Log File 2: Anomalous Traffic (DDoS-like attack pattern)
======================================================================
Timestamp           | IP Address      | Request              | Status | Bytes
----------------------------------------------------------------------
2026-06-14 09:00:00 | 192.168.1.33 | POST /login          | 200 | 2857
2026-06-14 09:00:09 | 192.168.1.33 | GET /profile         | 200 | 914
2026-06-14 09:00:18 | 192.168.1.39 | GET /index.html      | 200 | 2513
2026-06-14 09:00:27 | 192.168.1.35 | GET /profile         | 200 | 1571
2026-06-14 09:00:36 | 192.168.1.33 | GET /profile         | 200 | 1809
2026-06-14 09:00:45 | 192.168.1.34 | POST /login          | 200 | 2347
2026-06-14 09:00:54 | 192.168.1.32 | GET /index.html      | 200 | 1714
2026-06-14 09:01:03 | 192.168.1.32 | GET /api/data        | 200 | 1396
2026-06-14 09:01:12 | 192.168.1.30 | GET /api/data        | 201 | 1259
2026-06-14 09:01:21 | 192.168.1.32 | POST /login          | 201 | 817
2026-06-14 09:01:30 | 192.168.1.38 | POST /login          | 200 | 813
2026-06-14 09:01:39 | 203.0.113.45 | GET /admin           | 403 | 898
2026-06-14 09:01:48 | 192.168.1.38 | GET /api/data        | 200 | 2615
2026-06-14 09:01:57 | 203.0.113.45 | GET /admin           | 403 | 812
2026-06-14 09:02:06 | 192.168.1.33 | GET /api/data        | 200 | 1104
2026-06-14 09:02:15 | 203.0.113.45 | GET /wp-admin        | 403 | 468
2026-06-14 09:02:24 | 192.168.1.36 | GET /index.html      | 200 | 2591
2026-06-14 09:02:33 | 203.0.113.45 | GET /admin           | 403 | 170
2026-06-14 09:02:42 | 192.168.1.35 | GET /profile         | 200 | 2023
2026-06-14 09:02:51 | 203.0.113.45 | GET /                | 403 | 592
2026-06-14 09:03:00 | 203.0.113.45 | GET /wp-admin        | 403 | 859
2026-06-14 09:03:09 | 192.168.1.31 | GET /index.html      | 201 | 1519
2026-06-14 09:03:18 | 203.0.113.45 | GET /wp-admin        | 403 | 604
2026-06-14 09:03:27 | 192.168.1.31 | GET /api/data        | 201 | 1179
2026-06-14 09:03:36 | 192.168.1.38 | GET /api/data        | 200 | 585
2026-06-14 09:03:45 | 203.0.113.45 | GET /admin           | 403 | 523
2026-06-14 09:03:54 | 192.168.1.31 | GET /api/data        | 201 | 1850
2026-06-14 09:04:03 | 192.168.1.37 | GET /api/data        | 200 | 635
2026-06-14 09:04:12 | 192.168.1.35 | POST /login          | 200 | 2808
2026-06-14 09:04:21 | 192.168.1.38 | POST /login          | 200 | 2832
2026-06-14 09:04:30 | 203.0.113.45 | POST /               | 403 | 627
2026-06-14 09:04:39 | 192.168.1.35 | GET /index.html      | 200 | 2690
2026-06-14 09:04:48 | 192.168.1.30 | GET /index.html      | 200 | 2191
2026-06-14 09:04:57 | 192.168.1.39 | GET /index.html      | 200 | 2495
2026-06-14 09:05:06 | 192.168.1.39 | GET /profile         | 200 | 1236
2026-06-14 09:05:15 | 192.168.1.33 | POST /login          | 200 | 2754
2026-06-14 09:05:24 | 192.168.1.38 | GET /profile         | 200 | 2628
2026-06-14 09:05:33 | 203.0.113.45 | GET /                | 403 | 676
2026-06-14 09:05:42 | 192.168.1.35 | POST /login          | 200 | 1952
2026-06-14 09:05:51 | 192.168.1.34 | GET /profile         | 201 | 1345
2026-06-14 09:06:00 | 203.0.113.45 | GET /wp-admin        | 403 | 831
2026-06-14 09:06:09 | 203.0.113.45 | POST /               | 403 | 730
2026-06-14 09:06:18 | 192.168.1.38 | GET /api/data        | 201 | 1366
2026-06-14 09:06:27 | 192.168.1.39 | GET /index.html      | 201 | 923
2026-06-14 09:06:36 | 203.0.113.45 | GET /wp-admin        | 403 | 569
2026-06-14 09:06:45 | 192.168.1.30 | GET /api/data        | 200 | 2645
2026-06-14 09:06:54 | 192.168.1.34 | GET /profile         | 200 | 838
2026-06-14 09:07:03 | 192.168.1.33 | GET /profile         | 200 | 2340
2026-06-14 09:07:12 | 203.0.113.45 | POST /               | 403 | 565
2026-06-14 09:07:21 | 203.0.113.45 | GET /                | 403 | 109
2026-06-14 09:07:30 | 203.0.113.45 | GET /wp-admin        | 403 | 713
2026-06-14 09:07:39 | 192.168.1.33 | GET /profile         | 200 | 2583
2026-06-14 09:07:48 | 192.168.1.37 | GET /index.html      | 200 | 810
2026-06-14 09:07:57 | 203.0.113.45 | POST /               | 403 | 598
2026-06-14 09:08:06 | 192.168.1.39 | POST /login          | 200 | 1628
2026-06-14 09:08:15 | 203.0.113.45 | GET /wp-admin        | 403 | 644
2026-06-14 09:08:24 | 192.168.1.37 | GET /profile         | 200 | 2401
2026-06-14 09:08:33 | 192.168.1.33 | GET /profile         | 200 | 2551
2026-06-14 09:08:42 | 192.168.1.32 | GET /profile         | 200 | 826
2026-06-14 09:08:51 | 192.168.1.33 | GET /api/data        | 200 | 1453
2026-06-14 09:09:00 | 203.0.113.45 | GET /admin           | 403 | 671
2026-06-14 09:09:09 | 203.0.113.45 | POST /               | 403 | 987
2026-06-14 09:09:18 | 192.168.1.37 | GET /profile         | 201 | 2176
2026-06-14 09:09:27 | 192.168.1.39 | GET /api/data        | 200 | 2185
2026-06-14 09:09:36 | 192.168.1.34 | GET /api/data        | 200 | 960
2026-06-14 09:09:45 | 203.0.113.45 | POST /               | 403 | 145
2026-06-14 09:09:54 | 192.168.1.35 | GET /profile         | 200 | 2980
2026-06-14 09:10:03 | 203.0.113.45 | POST /               | 403 | 437
2026-06-14 09:10:12 | 192.168.1.30 | GET /profile         | 201 | 908
2026-06-14 09:10:21 | 192.168.1.36 | POST /login          | 200 | 536
2026-06-14 09:10:30 | 192.168.1.39 | GET /profile         | 201 | 1595
2026-06-14 09:10:39 | 192.168.1.36 | GET /api/data        | 200 | 2344
2026-06-14 09:10:48 | 203.0.113.45 | GET /admin           | 403 | 605
2026-06-14 09:10:57 | 192.168.1.33 | GET /profile         | 200 | 2404
2026-06-14 09:11:06 | 192.168.1.31 | GET /profile         | 200 | 1556
2026-06-14 09:11:15 | 192.168.1.39 | POST /login          | 200 | 958
2026-06-14 09:11:24 | 192.168.1.30 | GET /profile         | 201 | 2321
2026-06-14 09:11:33 | 192.168.1.38 | GET /api/data        | 200 | 860
2026-06-14 09:11:42 | 203.0.113.45 | POST /               | 403 | 453
2026-06-14 09:11:51 | 192.168.1.37 | GET /profile         | 200 | 2173
2026-06-14 09:12:00 | 192.168.1.36 | GET /index.html      | 200 | 1848
2026-06-14 09:12:09 | 192.168.1.30 | POST /login          | 200 | 2806
2026-06-14 09:12:18 | 192.168.1.37 | GET /index.html      | 200 | 962
2026-06-14 09:12:27 | 192.168.1.37 | POST /login          | 200 | 645
2026-06-14 09:12:36 | 192.168.1.30 | GET /api/data        | 200 | 1503
2026-06-14 09:12:45 | 192.168.1.35 | GET /api/data        | 200 | 883
2026-06-14 09:12:54 | 192.168.1.33 | GET /profile         | 200 | 2526
2026-06-14 09:13:03 | 192.168.1.34 | GET /index.html      | 200 | 2260
2026-06-14 09:13:12 | 192.168.1.32 | GET /profile         | 200 | 1798
2026-06-14 09:13:21 | 203.0.113.45 | GET /wp-admin        | 403 | 374
2026-06-14 09:13:30 | 203.0.113.45 | GET /                | 403 | 445
2026-06-14 09:13:39 | 192.168.1.31 | POST /login          | 200 | 2326
2026-06-14 09:13:48 | 192.168.1.39 | GET /api/data        | 201 | 1795
2026-06-14 09:13:57 | 192.168.1.35 | POST /login          | 200 | 2740
2026-06-14 09:14:06 | 192.168.1.37 | GET /index.html      | 201 | 1565
2026-06-14 09:14:15 | 192.168.1.35 | GET /index.html      | 200 | 922
2026-06-14 09:14:24 | 192.168.1.35 | POST /login          | 200 | 2937
2026-06-14 09:14:33 | 192.168.1.34 | GET /index.html      | 200 | 2362
2026-06-14 09:14:42 | 192.168.1.38 | GET /index.html      | 200 | 1178
2026-06-14 09:14:51 | 192.168.1.39 | GET /index.html      | 200 | 1256
2026-06-14 09:15:00 | 192.168.1.38 | POST /login          | 200 | 2364
2026-06-14 09:15:09 | 192.168.1.39 | GET /profile         | 201 | 1239
2026-06-14 09:15:18 | 203.0.113.45 | POST /               | 403 | 720
